,index,Pearson correlation,Gene,Slide,Method
36,HSPB11,0.0479262953777878,HSPB11,1142243F,HisToGene
37,TMEM59,0.0460609815007286,TMEM59,1142243F,HisToGene
38,SSBP3,0.0488086280688804,SSBP3,1142243F,HisToGene
39,TACSTD2,0.0617403402441573,TACSTD2,1142243F,HisToGene
40,MYSM1,0.0359922924998011,MYSM1,1142243F,HisToGene
41,TM2D1,0.0526874823612293,TM2D1,1142243F,HisToGene
42,PATJ,0.0527746231745652,PATJ,1142243F,HisToGene
43,USP1,0.0583934557647186,USP1,1142243F,HisToGene
44,JAK1,0.045560220419263,JAK1,1142243F,HisToGene
45,LEPROT,0.0476768572375412,LEPROT,1142243F,HisToGene
46,GNG12,0.0602632326121144,GNG12,1142243F,HisToGene
47,SRSF11,0.0468801924248739,SRSF11,1142243F,HisToGene
48,USP33,0.0507993238098046,USP33,1142243F,HisToGene
49,IFI44L,0.1111511195291594,IFI44L,1142243F,HisToGene
50,IFI44,0.0007369141720629,IFI44,1142243F,HisToGene
51,GNG5,0.0377632901243707,GNG5,1142243F,HisToGene
52,LMO4,0.1019764345271832,LMO4,1142243F,HisToGene
53,GTF2B,0.0315180815064064,GTF2B,1142243F,HisToGene
54,GBP1,0.0668027589284779,GBP1,1142243F,HisToGene
55,GBP2,0.0125432860561524,GBP2,1142243F,HisToGene
56,GBP5,0.0474368970131725,GBP5,1142243F,HisToGene
57,LRRC8B,0.053085177373051,LRRC8B,1142243F,HisToGene
58,LRRC8D,0.0812133606668602,LRRC8D,1142243F,HisToGene
59,CDC7,0.0351644582087673,CDC7,1142243F,HisToGene
60,GLMN,0.0368587526894897,GLMN,1142243F,HisToGene
61,MTF2,0.0435830303975188,MTF2,1142243F,HisToGene
62,TMED5,0.0420738834909144,TMED5,1142243F,HisToGene
63,CCDC18,0.0479036231175735,CCDC18,1142243F,HisToGene
64,DR1,0.07203313059273,DR1,1142243F,HisToGene
65,FNBP1L,0.0608120836483822,FNBP1L,1142243F,HisToGene
66,BCAR3,0.0027579079808291,BCAR3,1142243F,HisToGene
67,DNTTIP2,0.0375265442737757,DNTTIP2,1142243F,HisToGene
68,GCLM,0.0311152163725612,GCLM,1142243F,HisToGene
69,ARHGAP29,0.0500040577764452,ARHGAP29,1142243F,HisToGene
70,ABCD3,0.0475770202217219,ABCD3,1142243F,HisToGene
71,CNN3,0.0436038509966024,CNN3,1142243F,HisToGene
72,ALG14,0.0377347699245589,ALG14,1142243F,HisToGene
73,SNX7,0.0529283333399586,SNX7,1142243F,HisToGene
74,VCAM1,-0.0048570288654216,VCAM1,1142243F,HisToGene
75,PSMA5,0.0133360513044241,PSMA5,1142243F,HisToGene
76,GSTM3,0.0294532821370274,GSTM3,1142243F,HisToGene
77,CD53,0.0482433385862771,CD53,1142243F,HisToGene
78,WDR3,0.0487801799728138,WDR3,1142243F,HisToGene
79,PHGDH,-0.0059708405745533,PHGDH,1142243F,HisToGene
80,CTSS,0.0778964709014305,CTSS,1142243F,HisToGene
81,CTSK,0.0881375514863671,CTSK,1142243F,HisToGene
82,SCNM1,0.0494919079747555,SCNM1,1142243F,HisToGene
83,S100A8,-0.0143079961624277,S100A8,1142243F,HisToGene
84,S100A14,0.0434982236727184,S100A14,1142243F,HisToGene
85,S100A1,-0.0622239644169405,S100A1,1142243F,HisToGene
86,CREB3L4,0.0482254394579088,CREB3L4,1142243F,HisToGene
87,EFNA3,0.0361321416093615,EFNA3,1142243F,HisToGene
88,RIT1,0.0710712718305451,RIT1,1142243F,HisToGene
89,CRABP2,0.0347911442395213,CRABP2,1142243F,HisToGene
90,IFI16,0.0683481105352472,IFI16,1142243F,HisToGene
91,USF1,0.0216833189699985,USF1,1142243F,HisToGene
92,OLFML2B,0.0787346334810301,OLFML2B,1142243F,HisToGene
93,MPC2,0.0519772881274574,MPC2,1142243F,HisToGene
94,ATP1B1,0.05133323786166,ATP1B1,1142243F,HisToGene
95,RABGAP1L,0.05610323527022,RABGAP1L,1142243F,HisToGene
96,XPR1,0.04388047287583,XPR1,1142243F,HisToGene
97,LAMC1,0.0839348442645957,LAMC1,1142243F,HisToGene
98,C1orf21,0.0398141241601966,C1orf21,1142243F,HisToGene
99,TPR,0.0591511513321462,TPR,1142243F,HisToGene
100,PTPRC,0.0387683542240069,PTPRC,1142243F,HisToGene
101,UBE2T,0.0590845605068257,UBE2T,1142243F,HisToGene
102,NUCKS1,0.0408330560619925,NUCKS1,1142243F,HisToGene
103,ATF3,0.0159814275496011,ATF3,1142243F,HisToGene
104,CENPF,0.0613826911774352,CENPF,1142243F,HisToGene
105,KCTD3,0.050937579198405,KCTD3,1142243F,HisToGene
106,LYPLAL1,0.0617029889343177,LYPLAL1,1142243F,HisToGene
107,IARS2,0.0293280274543914,IARS2,1142243F,HisToGene
108,CNIH4,0.0120667566423265,CNIH4,1142243F,HisToGene
109,NUP133,0.0411262772069776,NUP133,1142243F,HisToGene
110,ARID4B,0.0382624386607819,ARID4B,1142243F,HisToGene
111,CHML,0.0177230958501986,CHML,1142243F,HisToGene
112,SCCPDH,0.0192121368510936,SCCPDH,1142243F,HisToGene
113,GATA3,0.0184498234878962,GATA3,1142243F,HisToGene
114,FAM107B,0.0807545681747296,FAM107B,1142243F,HisToGene
115,HSPA14,0.0420809692355433,HSPA14,1142243F,HisToGene
116,NEBL,0.0109773693063573,NEBL,1142243F,HisToGene
117,BAMBI,0.0096008510748184,BAMBI,1142243F,HisToGene
118,ARHGAP12,0.0060448826931244,ARHGAP12,1142243F,HisToGene
119,DKK1,0.0798121059984274,DKK1,1142243F,HisToGene
120,ZWINT,0.0484180966198079,ZWINT,1142243F,HisToGene
121,ANK3,0.0190467646503702,ANK3,1142243F,HisToGene
122,CDK1,0.0566372212235114,CDK1,1142243F,HisToGene
123,HERC4,0.0427096879163876,HERC4,1142243F,HisToGene
124,SRGN,0.0763571786408169,SRGN,1142243F,HisToGene
125,H2AFY2,0.0419114030503562,H2AFY2,1142243F,HisToGene
126,ADK,-0.0065292314705168,ADK,1142243F,HisToGene
127,DLG5,0.0526424550122152,DLG5,1142243F,HisToGene
128,PLAC9,0.0242218265971145,PLAC9,1142243F,HisToGene
129,GHITM,0.0155597156286812,GHITM,1142243F,HisToGene
130,SNCG,0.0300969985028855,SNCG,1142243F,HisToGene
131,ADIRF,0.0356496826875716,ADIRF,1142243F,HisToGene
132,IFIT3,0.0408392876484765,IFIT3,1142243F,HisToGene
133,FRA10AC1,0.0391200294994538,FRA10AC1,1142243F,HisToGene
134,EXOSC1,0.0343757685865853,EXOSC1,1142243F,HisToGene
135,SCD,0.044202124538887,SCD,1142243F,HisToGene
136,ARL3,0.0326413739067859,ARL3,1142243F,HisToGene
137,ADD3,0.0639305069152998,ADD3,1142243F,HisToGene
138,FAM204A,0.0886442135505877,FAM204A,1142243F,HisToGene
139,NSMCE4A,0.0560962851106368,NSMCE4A,1142243F,HisToGene
140,OAT,0.0176845665660996,OAT,1142243F,HisToGene
141,GLRX3,0.0555529505953243,GLRX3,1142243F,HisToGene
142,IFITM2,0.1001181205961056,IFITM2,1142243F,HisToGene
143,TRIM22,0.0291009776460694,TRIM22,1142243F,HisToGene
144,DKK3,0.0512530680869583,DKK3,1142243F,HisToGene
145,SAA1,-0.0685964206218048,SAA1,1142243F,HisToGene
146,TSG101,0.022396251460574,TSG101,1142243F,HisToGene
147,SVIP,0.0300760316652868,SVIP,1142243F,HisToGene
148,CAPRIN1,0.0491712447643384,CAPRIN1,1142243F,HisToGene
149,API5,0.0635951069832039,API5,1142243F,HisToGene
150,MTCH2,0.065754238491082,MTCH2,1142243F,HisToGene
151,UBE2L6,0.0351921312848696,UBE2L6,1142243F,HisToGene
152,MPEG1,0.0295140684885653,MPEG1,1142243F,HisToGene
153,MS4A7,0.0691641159659483,MS4A7,1142243F,HisToGene
154,TMEM258,0.0390032751153187,TMEM258,1142243F,HisToGene
155,CST6,0.0116932318845316,CST6,1142243F,HisToGene
156,ALDH3B2,0.0127410352032574,ALDH3B2,1142243F,HisToGene
157,TESMIN,0.0436041753398107,TESMIN,1142243F,HisToGene
158,CCND1,-0.0710791429932232,CCND1,1142243F,HisToGene
159,ANO1,0.038199765757377,ANO1,1142243F,HisToGene
160,FADD,0.0438306617343829,FADD,1142243F,HisToGene
161,CTTN,0.0351157112631329,CTTN,1142243F,HisToGene
162,PRSS23,0.0777549928329586,PRSS23,1142243F,HisToGene
163,BIRC3,0.0261184133040353,BIRC3,1142243F,HisToGene
164,MMP1,0.0168503995079256,MMP1,1142243F,HisToGene
165,CASP4,-0.0061100590377178,CASP4,1142243F,HisToGene
166,CD3D,0.0518718813773829,CD3D,1142243F,HisToGene
167,THYN1,0.0385893726025017,THYN1,1142243F,HisToGene
168,SCNN1A,0.0528398373583765,SCNN1A,1142243F,HisToGene
169,MAGOHB,0.0388096216974495,MAGOHB,1142243F,HisToGene
170,GPRC5A,0.0216053130514027,GPRC5A,1142243F,HisToGene
171,MGP,0.0169085234559805,MGP,1142243F,HisToGene
172,C12orf60,0.0249986899764387,C12orf60,1142243F,HisToGene
173,ITPR2,0.0572459994976357,ITPR2,1142243F,HisToGene
174,ZCRB1,0.0142942258441622,ZCRB1,1142243F,HisToGene
175,FAIM2,0.0056726607811904,FAIM2,1142243F,HisToGene
176,NR4A1,0.0451631924030624,NR4A1,1142243F,HisToGene
177,KRT81,0.0032244213617437,KRT81,1142243F,HisToGene
178,PPP1R1A,0.0124663066231982,PPP1R1A,1142243F,HisToGene
179,MUCL1,0.0027155467005626,MUCL1,1142243F,HisToGene
180,NUP107,0.0314323474249115,NUP107,1142243F,HisToGene
181,LYZ,0.0742857991380201,LYZ,1142243F,HisToGene
182,DUSP6,0.010349055648352,DUSP6,1142243F,HisToGene
183,ATP2B1,0.0196635314554735,ATP2B1,1142243F,HisToGene
184,LUM,0.1412406342662876,LUM,1142243F,HisToGene
185,DCN,0.1099503758672005,DCN,1142243F,HisToGene
186,EEA1,0.0856507919748942,EEA1,1142243F,HisToGene
187,NTN4,0.0406027436152842,NTN4,1142243F,HisToGene
188,TMPO,0.0973673321660101,TMPO,1142243F,HisToGene
189,ARL1,0.0340507051713684,ARL1,1142243F,HisToGene
190,CHPT1,-0.0013704876838317,CHPT1,1142243F,HisToGene
191,SYCP3,-0.0039948105023075,SYCP3,1142243F,HisToGene
192,PWP1,0.0363285617589584,PWP1,1142243F,HisToGene
193,TCTN1,0.0314099367083314,TCTN1,1142243F,HisToGene
194,MAPKAPK5,0.039431869209946,MAPKAPK5,1142243F,HisToGene
195,OAS1,0.0570267955650886,OAS1,1142243F,HisToGene
196,OAS2,0.0236946621534461,OAS2,1142243F,HisToGene
197,TBX3,0.056751501476545,TBX3,1142243F,HisToGene
198,OASL,0.0320803443856295,OASL,1142243F,HisToGene
199,ZNF664,0.0545281255252358,ZNF664,1142243F,HisToGene
200,ZNF84,0.0472118547725253,ZNF84,1142243F,HisToGene
201,PSPC1,-0.0070325149366822,PSPC1,1142243F,HisToGene
202,HMGB1,0.0724477851610459,HMGB1,1142243F,HisToGene
203,DCLK1,0.0025613213475512,DCLK1,1142243F,HisToGene
204,DNAJC15,0.0588808846543581,DNAJC15,1142243F,HisToGene
205,RNASEH2B,0.0190268501725713,RNASEH2B,1142243F,HisToGene
206,COMMD6,0.053787205928525,COMMD6,1142243F,HisToGene
207,FARP1,0.0458746634287295,FARP1,1142243F,HisToGene
208,MCF2L,0.0606013683024514,MCF2L,1142243F,HisToGene
209,NGDN,0.0425778344942953,NGDN,1142243F,HisToGene
210,RABGGTA,0.029478704359993,RABGGTA,1142243F,HisToGene
211,SCFD1,0.0629220156367431,SCFD1,1142243F,HisToGene
212,BAZ1A,0.0325778783143113,BAZ1A,1142243F,HisToGene
213,KLHDC2,0.0167837715010139,KLHDC2,1142243F,HisToGene
214,PSMA3,0.0637281225617632,PSMA3,1142243F,HisToGene
215,PCNX4,0.0191798333017891,PCNX4,1142243F,HisToGene
216,DHRS7,0.0243952977377087,DHRS7,1142243F,HisToGene
217,MTHFD1,0.0632486316414571,MTHFD1,1142243F,HisToGene
218,FUT8,0.0132591094237867,FUT8,1142243F,HisToGene
219,COQ6,0.0379358328504188,COQ6,1142243F,HisToGene
220,FOS,-0.0084282593776376,FOS,1142243F,HisToGene
221,ZC3H14,0.0593894276718412,ZC3H14,1142243F,HisToGene
222,UBR7,0.0366390129330466,UBR7,1142243F,HisToGene
223,IFI27L2,0.0517419476619123,IFI27L2,1142243F,HisToGene
224,IGHG4,0.1049095630078874,IGHG4,1142243F,HisToGene
225,APBA2,0.0296930087700951,APBA2,1142243F,HisToGene
226,EMC4,0.0300749163518606,EMC4,1142243F,HisToGene
227,NUSAP1,0.0500905222247318,NUSAP1,1142243F,HisToGene
228,TUBGCP4,0.043623602661959,TUBGCP4,1142243F,HisToGene
229,TP53BP1,0.0038778848718527,TP53BP1,1142243F,HisToGene
230,SPG11,0.0191455781642862,SPG11,1142243F,HisToGene
231,MYEF2,0.0577858357689559,MYEF2,1142243F,HisToGene
232,TMOD3,0.0375879652655809,TMOD3,1142243F,HisToGene
233,LEO1,0.0428322086915354,LEO1,1142243F,HisToGene
234,MYO5C,0.0528341166597486,MYO5C,1142243F,HisToGene
235,ARPP19,0.040148579805505,ARPP19,1142243F,HisToGene
236,ADAM10,0.0201372624054065,ADAM10,1142243F,HisToGene
237,CCNB2,0.0555830600028054,CCNB2,1142243F,HisToGene
238,GTF2A2,0.0530115221621289,GTF2A2,1142243F,HisToGene
239,VPS13C,0.0219186091461694,VPS13C,1142243F,HisToGene
240,C2CD4A,,C2CD4A,1142243F,HisToGene
241,TPM1,0.033498065771422,TPM1,1142243F,HisToGene
242,CILP,0.0645365488438183,CILP,1142243F,HisToGene
243,ITGA11,-0.0087644367694031,ITGA11,1142243F,HisToGene
244,UACA,0.1439167363224238,UACA,1142243F,HisToGene
245,RCN2,0.0697843204639643,RCN2,1142243F,HisToGene
246,PSTPIP1,0.0287409234977679,PSTPIP1,1142243F,HisToGene
247,LINGO1,0.0029700446747123,LINGO1,1142243F,HisToGene
248,ISG20,0.0181320687111369,ISG20,1142243F,HisToGene
249,PRC1,0.03603565771321,PRC1,1142243F,HisToGene
250,SNRPA1,0.0709170575858549,SNRPA1,1142243F,HisToGene
251,SBK1,0.0504522153600767,SBK1,1142243F,HisToGene
252,MT1G,0.0341285179352437,MT1G,1142243F,HisToGene
253,NUP93,0.0098937764494193,NUP93,1142243F,HisToGene
254,CX3CL1,0.0189530928042536,CX3CL1,1142243F,HisToGene
255,CMTM3,0.0658191514053279,CMTM3,1142243F,HisToGene
256,CBFB,0.0442432003561205,CBFB,1142243F,HisToGene
257,PRMT7,0.0369908928109319,PRMT7,1142243F,HisToGene
258,CDH1,0.0392046346497867,CDH1,1142243F,HisToGene
259,ZFHX3,0.0290446319455285,ZFHX3,1142243F,HisToGene
260,CFDP1,0.0287142492758956,CFDP1,1142243F,HisToGene
261,TERF2IP,0.0348645302523795,TERF2IP,1142243F,HisToGene
262,ITGAE,0.041357690943745,ITGAE,1142243F,HisToGene
263,ALOX15B,0.0413339435823924,ALOX15B,1142243F,HisToGene
264,TRPV2,0.0172672665914092,TRPV2,1142243F,HisToGene
265,B9D1,0.0108597436887132,B9D1,1142243F,HisToGene
266,UNC119,0.0532217048464515,UNC119,1142243F,HisToGene
267,PIGS,0.0456690692633851,PIGS,1142243F,HisToGene
268,SPAG5,0.0596504715796077,SPAG5,1142243F,HisToGene
269,KIAA0100,0.0051076115447467,KIAA0100,1142243F,HisToGene
270,SDF2,0.050092874213367,SDF2,1142243F,HisToGene
271,SUPT6H,0.0369354213478974,SUPT6H,1142243F,HisToGene
272,TRAF4,-0.0281885146471855,TRAF4,1142243F,HisToGene
273,CPD,0.0382155331856067,CPD,1142243F,HisToGene
274,GOSR1,0.0098121305965728,GOSR1,1142243F,HisToGene
275,RNF135,0.0104276329532627,RNF135,1142243F,HisToGene
276,CCL2,0.0690663746399157,CCL2,1142243F,HisToGene
277,SLFN5,0.0615633079974157,SLFN5,1142243F,HisToGene
278,AP2B1,0.0393358452510306,AP2B1,1142243F,HisToGene
279,ZNHIT3,0.0600906698468992,ZNHIT3,1142243F,HisToGene
280,MYO19,0.0414301909580329,MYO19,1142243F,HisToGene
281,GGNBP2,0.0336762969539631,GGNBP2,1142243F,HisToGene
282,ACACA,0.0222803722917611,ACACA,1142243F,HisToGene
283,DDX52,0.021552362020458,DDX52,1142243F,HisToGene
284,SOCS7,0.0270195467242019,SOCS7,1142243F,HisToGene
285,SRCIN1,0.0236107333435358,SRCIN1,1142243F,HisToGene
286,MLLT6,0.0538880416187092,MLLT6,1142243F,HisToGene
287,PCGF2,0.0336224410977889,PCGF2,1142243F,HisToGene
288,PIP4K2B,0.0600245553205374,PIP4K2B,1142243F,HisToGene
289,CWC25,0.0731244217839804,CWC25,1142243F,HisToGene
290,LASP1,0.0119662425443507,LASP1,1142243F,HisToGene
291,LINC00672,0.0096568905449902,LINC00672,1142243F,HisToGene
292,MED1,0.0623817521938119,MED1,1142243F,HisToGene
293,PPP1R1B,0.0811454027329782,PPP1R1B,1142243F,HisToGene
294,PNMT,0.0276660993238342,PNMT,1142243F,HisToGene
295,CASC3,0.0183083645030901,CASC3,1142243F,HisToGene
296,CDC6,0.0429442447327491,CDC6,1142243F,HisToGene
297,RARA,0.0161023542329594,RARA,1142243F,HisToGene
298,TOP2A,0.0856280042015643,TOP2A,1142243F,HisToGene
299,CCR7,0.0098020780071916,CCR7,1142243F,HisToGene
300,KRT15,0.0503693327761257,KRT15,1142243F,HisToGene
301,HSD17B1,0.0258623077434763,HSD17B1,1142243F,HisToGene
302,CNTD1,0.014028084806137,CNTD1,1142243F,HisToGene
303,BECN1,0.030264095740899,BECN1,1142243F,HisToGene
304,PSME3,0.0103623348760954,PSME3,1142243F,HisToGene
305,HOXB2,0.0924504880030295,HOXB2,1142243F,HisToGene
306,HOXB7,0.0405926721443931,HOXB7,1142243F,HisToGene
307,UBE2Z,-0.011438157555245,UBE2Z,1142243F,HisToGene
308,ZNF652,0.0281777141125034,ZNF652,1142243F,HisToGene
309,SPOP,0.0216012059584718,SPOP,1142243F,HisToGene
310,SLC35B1,0.0518088774658807,SLC35B1,1142243F,HisToGene
311,FAM117A,0.0464968986320369,FAM117A,1142243F,HisToGene
312,PDK2,0.0487822668309542,PDK2,1142243F,HisToGene
313,EME1,0.0337463270564014,EME1,1142243F,HisToGene
314,TOB1,0.0352876675271741,TOB1,1142243F,HisToGene
315,TOM1L1,0.0647728804399632,TOM1L1,1142243F,HisToGene
316,CUEDC1,0.0333285844014468,CUEDC1,1142243F,HisToGene
317,VEZF1,0.0296706869927212,VEZF1,1142243F,HisToGene
318,RAD51C,0.0363958492011155,RAD51C,1142243F,HisToGene
319,CLTC,0.0118013363314456,CLTC,1142243F,HisToGene
320,PTRH2,0.0293585908508096,PTRH2,1142243F,HisToGene
321,DCAF7,0.078887547448353,DCAF7,1142243F,HisToGene
322,CCDC47,0.0087713401043484,CCDC47,1142243F,HisToGene
323,DDX42,0.0743046335859956,DDX42,1142243F,HisToGene
324,DDX5,0.1180796414091507,DDX5,1142243F,HisToGene
325,CEP95,0.065175835367961,CEP95,1142243F,HisToGene
326,SMURF2,0.0296504407199621,SMURF2,1142243F,HisToGene
327,CACNG4,0.034835685600586,CACNG4,1142243F,HisToGene
328,HELZ,0.0201485828015319,HELZ,1142243F,HisToGene
329,PSMD12,0.0359977029353667,PSMD12,1142243F,HisToGene
330,NOL11,0.0831515865633078,NOL11,1142243F,HisToGene
331,KPNA2,0.0498274391782559,KPNA2,1142243F,HisToGene
332,AMZ2,0.0549961103189816,AMZ2,1142243F,HisToGene
333,ARSG,0.011703817401978,ARSG,1142243F,HisToGene
334,WIPI1,0.031469591877869,WIPI1,1142243F,HisToGene
335,SOX9,0.0612200151063972,SOX9,1142243F,HisToGene
336,SLC16A5,0.0066804816354781,SLC16A5,1142243F,HisToGene
337,QRICH2,0.0589801353664169,QRICH2,1142243F,HisToGene
338,CANT1,0.0373133236942354,CANT1,1142243F,HisToGene
339,SECTM1,0.0596889185796725,SECTM1,1142243F,HisToGene
340,WDR45B,0.0351129755234944,WDR45B,1142243F,HisToGene
341,RAB31,0.051928861932872,RAB31,1142243F,HisToGene
342,RAB27B,0.0180946043642934,RAB27B,1142243F,HisToGene
343,TXNL1,0.0235414138990497,TXNL1,1142243F,HisToGene
344,SHC2,0.005907221336085,SHC2,1142243F,HisToGene
345,AMH,0.0378853453159149,AMH,1142243F,HisToGene
346,JSRP1,0.0263283820486719,JSRP1,1142243F,HisToGene
347,TLE2,0.0396111570750866,TLE2,1142243F,HisToGene
348,CAPS,0.0512264858822899,CAPS,1142243F,HisToGene
349,ANGPTL4,0.0756421301529186,ANGPTL4,1142243F,HisToGene
350,DNMT1,0.0752853367760143,DNMT1,1142243F,HisToGene
351,LDLR,0.0242816248647924,LDLR,1142243F,HisToGene
352,CILP2,0.0214817803616047,CILP2,1142243F,HisToGene
353,POP4,0.0476786340266284,POP4,1142243F,HisToGene
354,CCNE1,-0.0123429163905041,CCNE1,1142243F,HisToGene
355,PDCD5,0.0559301031395997,PDCD5,1142243F,HisToGene
356,FXYD3,0.0421443337256698,FXYD3,1142243F,HisToGene
357,SYNE4,0.0271513070727698,SYNE4,1142243F,HisToGene
358,ZNF146,0.0867023374190425,ZNF146,1142243F,HisToGene
359,SIPA1L3,0.0647220637973963,SIPA1L3,1142243F,HisToGene
360,MAP4K1,0.0171884795294683,MAP4K1,1142243F,HisToGene
361,GMFG,0.0778633199308747,GMFG,1142243F,HisToGene
362,ZFP36,0.0150673041200049,ZFP36,1142243F,HisToGene
363,LYPD3,0.0529027601157554,LYPD3,1142243F,HisToGene
364,BCAM,-0.0070885488605027,BCAM,1142243F,HisToGene
365,FOSB,0.0196316829678293,FOSB,1142243F,HisToGene
366,BCL2L12,0.0431508215288227,BCL2L12,1142243F,HisToGene
367,ZNF480,0.0454582463531125,ZNF480,1142243F,HisToGene
368,SH3YL1,0.0547707284505194,SH3YL1,1142243F,HisToGene
369,RSAD2,0.0541972879482864,RSAD2,1142243F,HisToGene
370,ID2,0.0548840906246351,ID2,1142243F,HisToGene
371,ASAP2,0.0233298121714556,ASAP2,1142243F,HisToGene
372,YWHAQ,0.057498894410834,YWHAQ,1142243F,HisToGene
373,RRM2,0.0527476351069925,RRM2,1142243F,HisToGene
374,ODC1,0.0228801660681925,ODC1,1142243F,HisToGene
375,TRIB2,0.0377893499238222,TRIB2,1142243F,HisToGene
376,DDX1,0.0183277684157704,DDX1,1142243F,HisToGene
377,SMC6,0.0230378008613449,SMC6,1142243F,HisToGene
378,EIF2AK2,0.0346447936495392,EIF2AK2,1142243F,HisToGene
379,CEBPZ,0.0810966844675476,CEBPZ,1142243F,HisToGene
380,HNRNPLL,0.069736029056101,HNRNPLL,1142243F,HisToGene
381,SRSF7,0.0672905162303259,SRSF7,1142243F,HisToGene
382,PKDCC,-0.0053609524633089,PKDCC,1142243F,HisToGene
383,EPAS1,0.0665950167589962,EPAS1,1142243F,HisToGene
384,EPCAM,0.0260145559604794,EPCAM,1142243F,HisToGene
385,MSH2,0.0534370106245982,MSH2,1142243F,HisToGene
386,MTIF2,0.0147246639449428,MTIF2,1142243F,HisToGene
387,COMMD1,0.0618840158671186,COMMD1,1142243F,HisToGene
388,VPS54,0.0766100191851916,VPS54,1142243F,HisToGene
389,ANTXR1,0.01522056946816,ANTXR1,1142243F,HisToGene
390,SNRPG,0.1155023086844407,SNRPG,1142243F,HisToGene
391,MPHOSPH10,0.0486736845156077,MPHOSPH10,1142243F,HisToGene
392,ZNF638,0.0540449877185777,ZNF638,1142243F,HisToGene
393,BOLA3,0.0502427127941604,BOLA3,1142243F,HisToGene
394,COA5,0.0474313407449474,COA5,1142243F,HisToGene
395,UNC50,0.0668119777842887,UNC50,1142243F,HisToGene
396,MGAT4A,0.0475332325035829,MGAT4A,1142243F,HisToGene
397,EIF5B,0.0474522622827554,EIF5B,1142243F,HisToGene
398,REV1,0.0756479655876185,REV1,1142243F,HisToGene
399,FHL2,0.0141861846046885,FHL2,1142243F,HisToGene
400,GCC2,0.0552142916286553,GCC2,1142243F,HisToGene
401,LIMS1,0.0995179864623768,LIMS1,1142243F,HisToGene
402,RANBP2,0.0645170928156592,RANBP2,1142243F,HisToGene
403,SOWAHC,0.0513694159149567,SOWAHC,1142243F,HisToGene
404,IL1RN,0.0656357821424595,IL1RN,1142243F,HisToGene
405,NIFK,0.0738990991658742,NIFK,1142243F,HisToGene
406,IWS1,0.0660193619914013,IWS1,1142243F,HisToGene
407,HS6ST1,0.0556671381521547,HS6ST1,1142243F,HisToGene
408,CXCR4,0.0485340164625628,CXCR4,1142243F,HisToGene
409,KYNU,0.0362479899186506,KYNU,1142243F,HisToGene
410,TANC1,0.0418567180177945,TANC1,1142243F,HisToGene
411,ITGB6,0.0418359714706427,ITGB6,1142243F,HisToGene
412,FAP,0.0927836756136038,FAP,1142243F,HisToGene
413,ITGA6,0.0548987476528348,ITGA6,1142243F,HisToGene
414,COL3A1,0.1474532649502374,COL3A1,1142243F,HisToGene
415,COL5A2,0.0945382081775547,COL5A2,1142243F,HisToGene
416,WDR75,0.0626135980159057,WDR75,1142243F,HisToGene
